steps,loss,lr,ADE,FDE
3600,0.15245657555634776,0.0002,0.7123175906538963,1.0417195947666964
3650,0.14996577580521503,0.0002,0.7042061450680097,1.027697943131129
3700,0.1476250581877927,0.0002,0.6966382836401462,1.0150434508224329
3750,0.1450483395519356,0.0002,0.6885215421219667,1.0013137004077435
3800,0.14290350234260163,0.0002,0.68158140523235,0.9895726759533088
3850,0.14089471744249266,0.0002,0.674860374212265,0.9776384149889151
3900,0.13887980218231677,0.0002,0.668262946387132,0.9659739243189494
3950,0.13725834393625458,0.0002,0.6627392931679884,0.9563747241497039
4000,0.13518990510329604,0.0002,0.6561240625083447,0.9449633490641912
4050,0.13315727465972305,0.0002,0.649539492626985,0.9336226778825124
4100,0.13145531445617478,0.0002,0.6441502969066302,0.9245294380883375
4150,0.12979386179645855,0.0002,0.6384939088622729,0.9142250949839751
4200,0.1281766047788163,0.0002,0.6335339617033799,0.9061587023437023
4250,0.1268965786943833,0.0002,0.6291708021064599,0.8994925557871659
4300,0.12536064539973935,0.0002,0.6241655311683814,0.8909370778004329
4350,0.12389604810997844,0.0002,0.6194426639477412,0.8826087607542674
4400,0.12264311285813649,0.0002,0.6153821913401286,0.8754179797967275
4450,0.12170756794263919,0.0002,0.6123217084010442,0.8703151897788047
4500,0.12046464658280213,0.0002,0.6081571434537569,0.862796880543232
4550,0.11931210236251354,0.0002,0.6044887205461661,0.8564462806582451
4600,0.1183525873720646,0.0002,0.6010571267604828,0.8503589129646619
4650,0.11756412995358308,0.0002,0.5983597035606703,0.8459726992746194
4700,0.11653120598072807,0.0002,0.5948149238626163,0.8397896803816159
4750,0.11578657780215144,0.0002,0.5923540012637775,0.8357402744591236
4800,0.1152598587522904,0.0002,0.5902845475673676,0.8316813487907251
4850,0.11460315877074996,0.0002,0.5879490994910399,0.8274873251318932
4900,0.1140689468656977,0.0002,0.5859133798579375,0.8239861561258633
4950,0.11343060871834557,0.0002,0.5836932555238405,0.8201101022561391
5000,0.11299836390092968,0.00016,0.5818595389127731,0.8171697533130646
5050,0.11240280231585105,0.00016,0.579672174423933,0.8134283369680245
5100,0.11182849827284615,0.00016,0.5774150020182133,0.8091080830494563
