episodes,timesteps,collision,success,success_rate
66,5774,True,False,0.36666666666666664
67,5878,False,True,0.38333333333333336
68,6024,False,True,0.4
69,6066,True,False,0.38333333333333336
70,6084,True,False,0.36666666666666664
71,6222,False,True,0.36666666666666664
72,6371,True,False,0.35
73,6532,True,False,0.3333333333333333
74,6577,True,False,0.3333333333333333
75,6679,True,False,0.3333333333333333
76,6685,True,False,0.31666666666666665
77,6730,True,False,0.31666666666666665
78,6817,True,False,0.31666666666666665
79,6835,True,False,0.3
80,6973,False,True,0.3
81,6998,True,False,0.2833333333333333
82,7016,True,False,0.26666666666666666
83,7154,False,True,0.2833333333333333
84,7196,True,False,0.26666666666666666
85,7316,False,True,0.2833333333333333
86,7361,True,False,0.2833333333333333
87,7525,True,False,0.2833333333333333
88,7543,True,False,0.2833333333333333
89,7594,True,False,0.26666666666666666
90,7609,True,False,0.26666666666666666
91,7627,True,False,0.25
92,7765,False,True,0.26666666666666666
93,7929,True,False,0.26666666666666666
94,7944,True,False,0.25
95,8082,False,True,0.25
96,8276,False,True,0.26666666666666666
97,8394,False,True,0.2833333333333333
98,8532,False,True,0.3
99,8586,True,False,0.3
100,8690,False,True,0.31666666666666665
101,8828,False,True,0.31666666666666665
102,9023,False,True,0.3333333333333333
103,9041,True,False,0.31666666666666665
104,9179,False,True,0.3333333333333333
105,9377,False,True,0.35
106,9395,True,False,0.35
107,9533,False,True,0.35
108,9714,True,False,0.3333333333333333
109,9732,True,False,0.3333333333333333
110,9779,True,False,0.3333333333333333
111,9834,True,False,0.3333333333333333
112,9995,False,True,0.3333333333333333
113,10094,True,False,0.3333333333333333
114,10270,True,False,0.31666666666666665
115,10374,False,True,0.3333333333333333
116,10512,False,True,0.3333333333333333
117,10536,True,False,0.3333333333333333
118,10654,False,True,0.35
119,10699,True,False,0.35
120,10867,True,False,0.35
121,11061,False,True,0.36666666666666664
122,11150,True,False,0.36666666666666664
123,11303,True,False,0.36666666666666664
124,11355,True,False,0.36666666666666664
125,11493,False,True,0.38333333333333336
126,11548,True,False,0.38333333333333336
127,11668,False,True,0.38333333333333336
128,11806,False,True,0.38333333333333336
129,12001,False,True,0.4
130,12121,False,True,0.4166666666666667
131,12259,False,True,0.4166666666666667
133,12345,True,False,0.4166666666666667
134,12483,False,True,0.43333333333333335
135,12522,True,False,0.43333333333333335
136,12671,False,True,0.45
137,12777,True,False,0.45
138,12816,True,False,0.45
139,12936,False,True,0.4666666666666667
140,13003,True,False,0.4666666666666667
141,13030,True,False,0.45
142,13049,True,False,0.45
143,13096,True,False,0.45
144,13269,False,True,0.45
145,13360,True,False,0.45
146,13405,True,False,0.43333333333333335
147,13415,True,False,0.43333333333333335
148,13552,False,True,0.45
149,13698,False,True,0.4666666666666667
150,13742,True,False,0.4666666666666667
151,13785,True,False,0.4666666666666667
152,13830,True,False,0.4666666666666667
153,14039,False,True,0.4666666666666667
154,14159,False,True,0.48333333333333334
155,14297,False,True,0.5
156,14336,True,False,0.48333333333333334
157,14390,True,False,0.4666666666666667
158,14552,False,True,0.4666666666666667
160,14573,True,False,0.45
161,14711,False,True,0.4666666666666667
162,14915,False,True,0.4666666666666667
163,14931,True,False,0.45
164,15080,False,True,0.45
165,15096,True,False,0.45
166,15114,True,False,0.43333333333333335
167,15252,False,True,0.43333333333333335
168,15457,False,True,0.45
169,15624,False,True,0.45
170,15771,False,True,0.4666666666666667
171,15810,True,False,0.4666666666666667
172,15932,False,True,0.48333333333333334
173,15994,True,False,0.48333333333333334
174,16051,True,False,0.4666666666666667
175,16061,True,False,0.4666666666666667
176,16121,True,False,0.4666666666666667
