steps,loss,lr,ADE,FDE
4000,0.165360350454847,0.0002,0.7502139211297035,1.0941283515493074
4050,0.16302921771754822,0.0002,0.7429676074981689,1.0820677577058475
4100,0.16078139593203863,0.0002,0.7359816804428896,1.0697698762615522
4150,0.15883160381019115,0.0002,0.7296942608257134,1.05928751039505
4200,0.15706772316247225,0.0002,0.7241078095336755,1.0499445868134498
4250,0.15555694340666135,0.0002,0.7190641421278318,1.0410757523973784
4300,0.15405698328465223,0.0002,0.7139459816217423,1.0326398229797682
4350,0.15235479445010425,0.0002,0.7088296688199043,1.0236767044464747
4400,0.1510041560555498,0.0002,0.7043583285907904,1.015574646095435
4450,0.14957617302735646,0.0002,0.6997381071249644,1.0073278390963871
4500,0.14836748723437387,0.0002,0.6957001492381096,1.000855082333088
4550,0.14713125605136157,0.0002,0.6916125183502833,0.9942043438951175
4600,0.14600186221798261,0.0002,0.6879224836826324,0.9875341071883837
4650,0.1448932627911369,0.0002,0.6843856382767359,0.9814045719703038
4700,0.1438460377852122,0.0002,0.6810853281021119,0.976277765194575
4750,0.14277491499483586,0.0002,0.6774782222509385,0.9702334581812223
4800,0.14184578245878218,0.0002,0.6743747408092022,0.9649815132419268
4850,0.14133203357706467,0.0002,0.6722430277963479,0.9615226468741894
4900,0.14083074973026913,0.0002,0.6704631723562876,0.9588005375166734
4950,0.14025854535897572,0.0002,0.6683902774751186,0.955287788738807
5000,0.13981164201845725,0.00016,0.6668056631485622,0.9531740651826064
5050,0.13922943084686995,0.00016,0.6646226684848467,0.9496859767933686
5100,0.13854402984430392,0.00016,0.6621063727339109,0.945167293459177
5150,0.13782536584759753,0.00016,0.6593829743564129,0.9413984402517478
5200,0.13676636090005437,0.00016,0.6560094468295574,0.9361331762671471
5250,0.1355047278466324,0.00016,0.652214841713508,0.929939331650734
5300,0.13469739831363162,0.00016,0.6495377634565036,0.9261084182858467
5350,0.13385382731631398,0.00016,0.6467893310387929,0.9219802497824033
5400,0.13315311198309063,0.00016,0.6445818349123001,0.9183262697458268
